,Xiaomi,Asus,Mac OS X,Huawei,Windows 10 S,ARM_GPU,Samsung_CPU,Fujitsu,Lenovo,Samsung,Google,Android,Toshiba,HP,Microsoft,Dell,Chuwi,LG,Inches,Vero,2 in 1 Convertible,Apple,Mediacom,macOS,Netbook,Chrome OS,Storage,Windows 10,Windows 7,Linux,No OS,MSI,AMD_CPU,Intel_CPU,Intel_GPU,AMD_GPU,Acer,Weight,Razer,Workstation,Ultrabook,Nvidia_GPU,Gaming,CpuFreq,Notebook,ScreenHeight,ScreenWidth,Ram,Price
1094,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.5,0,0,0,0,0,1,0,128.0,0,1,0,0,0,0,1,1,0,0,2.4,0,0,0,0,0,2.3,0,768,1366,4,85194.72
1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,0,0,1,2.4,0,0,0,1,0,2.5,1,1080,1920,8,42570.72
1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,0,1,0,2.36,0,0,0,0,0,2.5,1,1080,1920,8,34035.264
1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,256.0,1,0,0,0,1,0,1,0,0,0,2.6,0,0,0,1,1,2.6,0,1080,1920,8,85194.72
1098,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,0,1,1,0,0,1.96,0,0,0,0,0,1.6,1,768,1366,4,26640.0
1099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,128.0,1,0,0,0,0,0,1,0,0,0,4.3,0,0,0,1,1,2.6,0,1080,1920,16,122490.72
1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5,0,0,0,0,0,0,0,500.0,0,1,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,2.3,0,768,1366,4,60480.792
1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5,0,0,0,0,0,0,0,128.0,0,1,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,2.3,0,768,1366,4,62176.1616
1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,1,16.0,0,0,0,0,0,0,1,1,0,1,2.2,0,0,0,0,0,1.5,1,768,1366,4,11135.52
1103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,0,0,0,0,0,0,0,1000.0,0,1,0,0,0,0,1,0,1,0,3.0,0,1,0,0,0,2.6,0,1080,1920,8,154458.72
1104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,512.0,1,0,0,0,0,0,1,0,0,0,2.4,0,0,0,1,1,2.8,0,1080,1920,16,63882.72
1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5,0,0,0,0,0,0,0,256.0,0,1,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,2.3,0,768,1366,8,75289.968
1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,128.0,1,0,0,0,1,0,1,0,0,0,2.9,0,0,0,1,1,2.6,0,1080,1920,8,80516.20319999999
1107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,1,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,2.1,0,0,0,0,0,2.3,0,1080,1920,4,46193.76
1108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,0,0,0,0,0,0,0,1000.0,1,0,0,0,0,1,0,0,1,0,2.1,0,0,0,0,0,2.5,1,1080,1920,4,21205.44
1109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,128.0,1,0,0,0,0,0,1,0,0,0,2.59,0,0,0,1,1,2.6,0,1080,1920,16,71341.92
1110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.3,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.16,0,0,0,0,0,1.1,1,1800,3200,8,90522.72
1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,0,0,0,0,0,0,0,500.0,0,1,0,0,0,0,1,0,1,0,2.24,0,0,0,0,0,2.3,1,768,1366,4,40980.312
1112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,128.0,1,0,0,0,0,0,1,1,0,0,2.1,0,0,0,0,0,2.0,1,768,1366,4,22857.12
1113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13.3,0,0,0,0,0,0,0,512.0,1,0,0,0,0,0,1,1,0,0,1.16,0,0,1,0,0,2.5,0,1080,1920,8,104908.32
1114,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10.1,0,1,0,0,0,0,0,64.0,0,0,0,0,0,0,1,1,0,0,0.69,0,0,0,0,0,1.44,0,1200,1920,4,29250.72
1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.3,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.23,0,0,1,0,0,2.4,0,1080,1920,8,73473.12
1116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,0,0,0,4.6,0,0,0,1,1,2.7,0,1080,1920,16,146519.46719999998
1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,256.0,1,0,0,0,0,0,1,1,0,0,1.25,1,0,1,0,0,2.5,0,2160,3840,8,54825.12
1118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,0,0,0,0,0,0,0,512.0,1,0,0,0,0,0,1,1,0,0,1.05,0,0,1,0,0,2.7,0,1080,1920,16,118601.28
